alert,felt,mag,magType,place,time,title,tsunami,type,parsed_place
,,1.87,ml,"4km E of Indianola, Washington",,"M 1.9 - 4km E of Indianola, Washington",0,earthquake, Washington
,,-0.1,ml,"47km ESE of Beatty, Nevada",,"M -0.1 - 47km ESE of Beatty, Nevada",0,earthquake, Nevada
,13.0,2.33,ml,"11km WNW of Malibu, CA",,"M 2.3 - 11km WNW of Malibu, CA",0,earthquake, CA
,,2.4,ml,"52km N of Arctic Village, Alaska",,"M 2.4 - 52km N of Arctic Village, Alaska",0,earthquake, Alaska
,,3.29,md,"38km ENE of Christiansted, U.S. Virgin Islands",,"M 3.3 - 38km ENE of Christiansted, U.S. Virgin Islands",0,earthquake, U.S. Virgin Islands
,,1.9,ml,"64km SSW of Kaktovik, Alaska",,"M 1.9 - 64km SSW of Kaktovik, Alaska",0,earthquake, Alaska
,,1.9,ml,"64km SSW of Kaktovik, Alaska",,"M 1.9 - 64km SSW of Kaktovik, Alaska",0,earthquake, Alaska
,,0.52,ml,"21km SW of La Quinta, CA",,"M 0.5 - 21km SW of La Quinta, CA",0,earthquake, CA
,,1.03,ml,"5km SSE of Mentone, CA",,"M 1.0 - 5km SSE of Mentone, CA",0,earthquake, CA
,,0.5,ml,"22km NNE of Pahrump, Nevada",,"M 0.5 - 22km NNE of Pahrump, Nevada",0,earthquake, Nevada
,,2.24,ml,"15km WSW of Volcano, Hawaii",,"M 2.2 - 15km WSW of Volcano, Hawaii",0,earthquake, Hawaii
