ticker,date,close,volume,open,high,low
NFLX,2018-10-25,312.87,13285040,307.12,319.94,305.25
AAPL,2018-10-26,216.3,47191700,215.9,220.19,212.67
AMZN,2018-10-26,1642.81,14941860,1649.59,1698.46,1603.0
FB,2018-10-26,145.37,31235150,145.82,149.0,143.8
GOOG,2018-10-26,1071.47,4185201,1037.03,1106.53,1034.09
NFLX,2018-10-26,299.83,19591690,300.51,313.99,292.3
AAPL,2018-10-29,212.24,45713690,219.19,219.69,206.09
AMZN,2018-10-29,1538.88,13791810,1660.0,1665.7383,1495.0
FB,2018-10-29,142.09,31270990,148.5,148.83,139.03
GOOG,2018-10-29,1020.08,3873644,1082.47,1097.04,995.83
NFLX,2018-10-29,284.84,21662320,305.26,307.89,275.4
AAPL,2018-10-30,213.3,36487930,211.15,215.18,209.27
AMZN,2018-10-30,1530.42,12395130,1486.16,1540.99,1476.36
FB,2018-10-30,146.22,45351650,139.935,146.64,139.7419
GOOG,2018-10-30,1036.21,3209126,1008.46,1037.49,1000.75
NFLX,2018-10-30,285.81,23622680,275.57,290.525,271.2093
AAPL,2018-10-31,218.86,38016810,216.88,220.45,216.62
AMZN,2018-10-31,1598.01,9372899,1569.99,1623.91,1565.09
FB,2018-10-31,151.79,59983970,155.0,156.4,148.96
GOOG,2018-10-31,1076.77,2528584,1059.81,1091.94,1057.0
NFLX,2018-10-31,301.78,20092970,297.77,311.5,295.05
AAPL,2018-11-01,222.22,52954070,219.05,222.36,216.81
AMZN,2018-11-01,1665.53,8054045,1623.53,1670.4465,1598.44
FB,2018-11-01,151.75,25435380,151.52,152.75,149.35
GOOG,2018-11-01,1070.0,1456222,1075.8,1083.975,1062.46
NFLX,2018-11-01,317.38,15031690,304.59,318.45,296.67
AAPL,2018-11-02,207.48,91046560,209.55,213.65,205.43
AMZN,2018-11-02,1665.53,6932644,1678.59,1697.44,1651.83
FB,2018-11-02,150.35,24479290,151.8,154.13,148.96
GOOG,2018-11-02,1057.79,1829295,1073.73,1082.975,1054.61
NFLX,2018-11-02,309.1,13356130,318.0,321.88,308.33
AAPL,2018-11-05,201.59,66072170,204.3,204.39,198.17
AMZN,2018-11-05,1627.8,5615749,1657.57,1658.09,1596.36
FB,2018-11-05,148.68,15894150,150.1,150.19,147.44
GOOG,2018-11-05,1040.09,2436742,1055.0,1058.47,1021.24
NFLX,2018-11-05,315.44,10247430,311.1,317.53,303.74
AAPL,2018-11-06,203.77,31774720,201.92,204.72,201.69
AMZN,2018-11-06,1642.81,4206093,1618.35,1665.0,1614.55
FB,2018-11-06,149.94,16302120,149.31,150.97,148.0
GOOG,2018-11-06,1055.81,1225197,1039.48,1064.345,1038.07
NFLX,2018-11-06,310.84,9659785,314.76,320.22,305.3
AAPL,2018-11-07,209.95,33291640,205.97,210.06,204.13
AMZN,2018-11-07,1755.49,8166777,1673.0,1759.23,1664.075
FB,2018-11-07,151.53,21740210,151.57,153.01,149.83
GOOG,2018-11-07,1093.39,2057155,1069.0,1095.46,1065.9
NFLX,2018-11-07,327.5,13308030,312.9,328.56,311.0
AAPL,2018-11-08,208.49,25289270,209.98,210.12,206.75
AMZN,2018-11-08,1754.91,6520345,1755.0,1784.0,1725.11
FB,2018-11-08,147.87,24061590,150.49,150.94,146.74
GOOG,2018-11-08,1082.4,1463022,1091.38,1093.27,1072.2048
NFLX,2018-11-08,317.92,11008020,328.0,332.0499,316.6103
AAPL,2018-11-09,204.47,34317760,205.55,206.01,202.25
AMZN,2018-11-09,1712.43,5892058,1732.5,1743.9206,1701.87
FB,2018-11-09,144.96,17305480,146.75,147.76,144.07
GOOG,2018-11-09,1066.15,1343154,1073.99,1075.56,1053.11
NFLX,2018-11-09,303.47,13463170,311.07,312.98,298.01
AAPL,2018-11-12,194.17,50991030,199.0,199.85,193.79
AMZN,2018-11-12,1636.85,6763693,1698.24,1708.55,1630.01
FB,2018-11-12,141.55,18387680,144.48,145.04,140.4899
GOOG,2018-11-12,1038.63,1429319,1061.39,1062.12,1031.0
NFLX,2018-11-12,294.07,10886490,300.0,302.49,290.63
AAPL,2018-11-13,192.23,46725710,191.63,197.18,191.4501
