,ACS_GEO_ID,ACS_GEO_ID2,STFIPS,AREATYPE,AREA,TOTAL_POPULATION,CIVILIAN_LABOR_FORCE,NUMBER_EMPLOYED,UNEMPLOYMENT_RATE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,POVERTY_RATE,HIGH_SCHOOL_GRADUATE,BACHELOR_DEGREE_GRADUATE,MEDIAN_GROSS_RENT,RENT_PERCENT_INCOME,MEDIAN_HOUSING_VALUE,OWNER_COST_PERCENT_INCOME,MEAN_TRAVEL_TIME_TO_WORK,CIVILIAN_VETERANS,AREANAME_UNUSED
1852,0500000US31119,31,31,04,119,35080,18861,18271,3.1,53188,28179,14.9,90.4,23.0,690,25.4,146400,16.3,14.4,7.4,"Madison County, Nebraska"
1853,0500000US31137,31,31,04,137,9100,4774,4740,0.7,59040,32864,9.6,93.3,23.5,672,23.1,134000,16.1,14.3,7.5,"Phelps County, Nebraska"
1854,0500000US31179,31,31,04,179,9332,5473,5334,2.5,56456,27671,12.2,96.0,32.4,655,27.4,137200,14.2,16.8,6.7,"Wayne County, Nebraska"
1855,0500000US31107,31,31,04,107,8426,4367,4239,2.9,52332,28409,9.3,92.1,21.6,517,20.1,95900,13.9,18.1,10.4,"Knox County, Nebraska"
1856,0500000US31121,31,31,04,121,7798,4108,4023,2.1,55649,28795,12.0,94.2,17.8,689,23.1,115400,14.7,19.0,9.5,"Merrick County, Nebraska"
1857,0500000US31133,31,31,04,133,2649,1278,1241,2.9,46452,27162,18.9,87.6,17.1,551,28.8,71100,14.0,21.9,9.4,"Pawnee County, Nebraska"
1858,0500000US31183,31,31,04,183,783,400,400,0.0,51591,29037,13.2,95.6,19.4,508,16.7,97800,16.5,17.7,7.0,"Wheeler County, Nebraska"
1859,0500000US32015,32,32,04,015,5643,2818,2586,8.2,88030,34000,9.7,88.3,12.4,842,35.1,179900,12.2,22.7,9.5,"Lander County, Nevada"
1860,0500000US32009,32,32,04,009,969,410,398,2.9,37375,25849,8.9,88.3,16.1,551,25.4,65000,11.1,14.3,16.1,"Esmeralda County, Nevada"
1861,0500000US32021,32,32,04,021,4460,1728,1534,11.2,35806,22921,19.8,89.0,14.9,610,29.1,98900,11.8,14.6,16.9,"Mineral County, Nevada"
